Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,Cancelled
2008,1,7,1,1458,1500,1923,1840,WN,3481,N462WN,205,160,191,43,-2,ABQ,MDW,1121,0
2008,1,7,1,1319,1320,1501,1455,WN,61,N694SW,162,155,144,6,-1,ABQ,OAK,889,0
2008,1,7,1,1921,1925,2055,2100,WN,231,N740SW,154,155,135,-5,-4,ABQ,OAK,889,0
2008,1,7,1,NA,730,NA,905,WN,912,,NA,155,NA,NA,NA,ABQ,OAK,889,1
2008,1,7,1,1757,1800,1958,2000,WN,360,N786SW,181,180,167,-2,-3,ABQ,PDX,1111,0
2008,1,7,1,1203,1155,1333,1310,WN,10,N302SW,90,75,72,23,8,ABQ,PHX,328,0
2008,1,7,1,755,755,942,910,WN,88,N281WN,107,75,78,32,0,ABQ,PHX,328,0
2008,1,7,1,1934,1935,2055,2050,WN,160,N498WN,81,75,59,5,-1,ABQ,PHX,328,0
2008,1,7,1,1528,1525,1654,1640,WN,357,N243WN,86,75,59,14,3,ABQ,PHX,328,0
2008,1,7,1,1429,1400,1557,1515,WN,734,N695SW,88,75,58,42,29,ABQ,PHX,328,0
2008,1,7,1,1607,1600,1717,1715,WN,806,N456WN,70,75,55,2,7,ABQ,PHX,328,0
2008,1,7,1,2044,2045,2154,2155,WN,823,N484WN,70,70,59,-1,-1,ABQ,PHX,328,0
2008,1,7,1,1021,905,1139,1025,WN,957,N382SW,78,80,67,74,76,ABQ,PHX,328,0
2008,1,7,1,621,620,731,735,WN,2613,N470WN,70,75,58,-4,1,ABQ,PHX,328,0
2008,1,7,1,1822,1825,1938,1945,WN,2871,N475WN,76,80,60,-7,-3,ABQ,PHX,328,0
2008,1,7,1,1039,1040,1158,1155,WN,2976,N551WN,79,75,67,3,-1,ABQ,PHX,328,0
2008,1,7,1,1221,1220,1320,1315,WN,137,N692SW,119,115,106,5,1,ABQ,SAN,628,0
2008,1,7,1,1822,1815,1924,1905,WN,574,N661SW,122,110,111,19,7,ABQ,SAN,628,0
2008,1,7,1,750,705,847,755,WN,783,N337SW,117,110,105,52,45,ABQ,SAN,628,0
2008,1,7,1,1926,1910,2136,2125,WN,2010,N779SW,190,195,173,11,16,ABQ,SEA,1180,0
2008,1,7,1,838,840,1041,1055,WN,2270,N738CB,183,195,173,-14,-2,ABQ,SEA,1180,0
2008,1,7,1,1520,1520,1659,1700,WN,901,N655WN,99,100,78,-1,0,ABQ,SLC,493,0
2008,1,7,1,912,915,1045,1055,WN,1002,N292WN,93,100,79,-10,-3,ABQ,SLC,493,0
2008,1,7,1,1040,1040,1338,1355,WN,406,N351SW,118,135,107,-17,0,ABQ,STL,934,0
2008,1,7,1,1440,1440,1953,1950,WN,3425,N435WN,193,190,176,3,0,ABQ,TPA,1497,0
2008,1,7,1,1730,1725,1847,1830,WN,644,N902WN,77,65,56,17,5,ABQ,TUS,321,0
2008,1,7,1,1027,1020,1144,1130,WN,1655,N688SW,77,70,62,14,7,ABQ,TUS,321,0
2008,1,7,1,1325,1325,1435,1440,WN,182,N376SW,70,75,58,-5,0,ALB,BWI,288,0
2008,1,7,1,1009,1005,1111,1120,WN,733,N380SW,62,75,53,-9,4,ALB,BWI,288,0
2008,1,7,1,1814,1820,1920,1935,WN,1861,N434WN,66,75,55,-15,-6,ALB,BWI,288,0
2008,1,7,1,619,615,737,735,WN,2697,N475WN,78,80,55,2,4,ALB,BWI,288,0
2008,1,7,1,1515,1515,1619,1630,WN,3046,N652SW,64,75,54,-11,0,ALB,BWI,288,0
2008,1,7,1,831,830,936,945,WN,3397,N402WN,65,75,54,-9,1,ALB,BWI,288,0
2008,1,7,1,2049,2055,2148,2210,WN,3690,N447WN,59,75,49,-22,-6,ALB,BWI,288,0
2008,1,7,1,1138,1135,1414,1420,WN,3237,N790SW,336,345,323,-6,3,ALB,LAS,2237,0
2008,1,7,1,1925,1930,2206,2235,WN,1416,N461WN,161,185,149,-29,-5,ALB,MCO,1073,0
2008,1,7,1,808,810,1047,1115,WN,2958,N739GB,159,185,146,-28,-2,ALB,MCO,1073,0
2008,1,7,1,1201,1205,1458,1510,WN,3656,N496WN,177,185,152,-12,-4,ALB,MCO,1073,0
2008,1,7,1,658,700,831,825,WN,2262,N365SW,153,145,142,6,-2,ALB,MDW,717,0
2008,1,7,1,1602,1605,1714,1725,WN,3162,N769SW,132,140,117,-11,-3,ALB,MDW,717,0
2008,1,7,1,735,735,1026,1045,WN,3306,N758SW,171,190,158,-19,0,ALB,TPA,1130,0
2008,1,7,1,732,735,734,735,WN,88,N281WN,62,60,51,-1,-3,AMA,ABQ,277,0
2008,1,7,1,627,630,734,735,WN,5,N522SW,67,65,53,-1,-3,AMA,DAL,324,0
2008,1,7,1,1055,1100,1154,1205,WN,25,N357SW,59,65,50,-11,-5,AMA,DAL,324,0
2008,1,7,1,1357,1355,1457,1500,WN,37,N507SW,60,65,51,-3,2,AMA,DAL,324,0
2008,1,7,1,1851,1835,1952,1940,WN,55,N510SW,61,65,50,12,16,AMA,DAL,324,0
2008,1,7,1,1253,1255,1354,1400,WN,85,N361SW,61,65,51,-6,-2,AMA,DAL,324,0
2008,1,7,1,1615,1615,1715,1720,WN,1079,N410WN,60,65,52,-5,0,AMA,DAL,324,0
2008,1,7,1,2008,2015,2122,2120,WN,1582,N328SW,74,65,63,2,-7,AMA,DAL,324,0
2008,1,7,1,838,830,941,935,WN,1751,N680AA,63,65,53,6,8,AMA,DAL,324,0
2008,1,7,1,1536,1540,1544,1555,WN,510,N400WN,68,75,52,-11,-4,AMA,DEN,358,0
2008,1,7,1,849,855,856,910,WN,1636,N345SA,67,75,52,-14,-6,AMA,DEN,358,0
2008,1,7,1,1207,1150,1218,1205,WN,12,N326SW,131,135,117,13,17,AMA,LAS,758,0
2008,1,7,1,655,700,838,855,WN,222,N643SW,103,115,92,-17,-5,AUS,BNA,756,0
2008,1,7,1,1918,1920,2102,2115,WN,330,N499WN,104,115,88,-13,-2,AUS,BNA,756,0
2008,1,7,1,1052,1050,1238,1240,WN,1422,N792SW,106,110,90,-2,2,AUS,BNA,756,0
2008,1,7,1,1413,1415,1800,1815,WN,1001,N632SW,167,180,157,-15,-2,AUS,BWI,1342,0
2008,1,7,1,931,925,1323,1325,WN,3489,N684WN,172,180,158,-2,6,AUS,BWI,1342,0
2008,1,7,1,1047,1050,1134,1145,WN,61,N694SW,47,55,38,-11,-3,AUS,DAL,189,0
2008,1,7,1,628,630,716,725,WN,128,N246LV,48,55,38,-9,-2,AUS,DAL,189,0
2008,1,7,1,1445,1450,1536,1545,WN,154,N747SA,51,55,36,-9,-5,AUS,DAL,189,0
2008,1,7,1,1348,1355,1436,1445,WN,303,N459WN,48,50,37,-9,-7,AUS,DAL,189,0
2008,1,7,1,1830,1830,1916,1925,WN,460,N501SW,46,55,37,-9,0,AUS,DAL,189,0
2008,1,7,1,1652,1640,1751,1735,WN,900,N306SW,59,55,39,16,12,AUS,DAL,189,0
2008,1,7,1,858,900,947,955,WN,1194,N654SW,49,55,37,-8,-2,AUS,DAL,189,0
2008,1,7,1,2040,2045,2125,2135,WN,1399,N511SW,45,50,35,-10,-5,AUS,DAL,189,0
2008,1,7,1,1544,1545,1635,1640,WN,1417,N510SW,51,55,42,-5,-1,AUS,DAL,189,0
2008,1,7,1,806,805,853,900,WN,2530,N357SW,47,55,37,-7,1,AUS,DAL,189,0
2008,1,7,1,1741,1740,1825,1835,WN,2880,N521SW,44,55,36,-10,1,AUS,DAL,189,0
2008,1,7,1,2008,1935,2059,2030,WN,3409,N611SW,51,55,39,29,33,AUS,DAL,189,0
2008,1,7,1,1218,1210,1309,1300,WN,3949,N693SW,51,50,39,9,8,AUS,DAL,189,0
2008,1,7,1,1439,1435,1544,1550,WN,2124,N397SW,125,135,105,-6,4,AUS,DEN,775,0
2008,1,7,1,1700,1705,1733,1745,WN,231,N740SW,93,100,81,-12,-5,AUS,ELP,528,0
2008,1,7,1,2025,1945,2102,2020,WN,2461,N323SW,97,95,82,42,40,AUS,ELP,528,0
2008,1,7,1,724,725,756,805,WN,2524,N288WN,92,100,79,-9,-1,AUS,ELP,528,0
2008,1,7,1,1237,1240,1312,1320,WN,3481,N462WN,95,100,81,-8,-3,AUS,ELP,528,0
2008,1,7,1,1438,1440,1524,1530,WN,112,N501SW,46,50,36,-6,-2,AUS,HOU,148,0
2008,1,7,1,627,630,709,715,WN,311,N382SW,42,45,33,-6,-3,AUS,HOU,148,0
2008,1,7,1,1917,1910,2001,1955,WN,555,N527SW,44,45,32,6,7,AUS,HOU,148,0
2008,1,7,1,1706,1705,1756,1755,WN,1856,N783SW,50,50,36,1,1,AUS,HOU,148,0
2008,1,7,1,1107,1105,1155,1150,WN,2445,N651SW,48,45,35,5,2,AUS,HOU,148,0
2008,1,7,1,2022,2025,2105,2110,WN,2529,N279WN,43,45,31,-5,-3,AUS,HOU,148,0
2008,1,7,1,907,825,955,910,WN,2974,N745SW,48,45,35,45,42,AUS,HOU,148,0
2008,1,7,1,1247,1250,1344,1350,WN,501,N510SW,57,60,47,-6,-3,AUS,HRL,273,0
2008,1,7,1,900,900,1003,1000,WN,906,N627SW,183,180,166,3,0,AUS,LAS,1090,0
2008,1,7,1,1119,1120,1229,1220,WN,1838,N680AA,190,180,174,9,-1,AUS,LAS,1090,0
2008,1,7,1,2042,1925,2137,2030,WN,3862,N638SW,175,185,165,67,77,AUS,LAS,1090,0
2008,1,7,1,1154,1155,1313,1320,WN,2985,N766SW,199,205,185,-7,-1,AUS,LAX,1242,0
2008,1,7,1,1738,1740,1843,1850,WN,160,N498WN,65,70,54,-7,-2,AUS,LBB,341,0
2008,1,7,1,735,740,839,850,WN,1028,N255WN,64,70,51,-11,-5,AUS,LBB,341,0
2008,1,7,1,604,610,703,715,WN,697,N654SW,59,65,47,-12,-6,AUS,MAF,294,0
2008,1,7,1,1634,1635,1736,1740,WN,3595,N520SW,62,65,49,-4,-1,AUS,MAF,294,0
2008,1,7,1,1322,1320,1640,1645,WN,297,N238WN,138,145,124,-5,2,AUS,MCO,993,0
2008,1,7,1,1741,1740,2017,2010,WN,870,N689SW,156,150,140,7,1,AUS,MDW,972,0
2008,1,7,1,701,700,916,930,WN,1567,N639SW,135,150,120,-14,1,AUS,MDW,972,0
2008,1,7,1,954,955,1136,1130,WN,513,N503SW,162,155,148,6,-1,AUS,PHX,872,0
2008,1,7,1,1518,1520,1655,1655,WN,700,N331SW,157,155,141,0,-2,AUS,PHX,872,0
2008,1,7,1,648,650,818,825,WN,754,N276WN,150,155,133,-7,-2,AUS,PHX,872,0
2008,1,7,1,1950,1955,2122,2130,WN,2183,N502SW,152,155,134,-8,-5,AUS,PHX,872,0
2008,1,7,1,1551,1530,1654,1640,WN,687,N623SW,183,190,171,14,21,AUS,SAN,1164,0
2008,1,7,1,913,915,1023,1025,WN,3502,N333SW,190,190,178,-2,-2,AUS,SAN,1164,0
2008,1,7,1,1532,1535,1843,1850,WN,304,N309SW,131,135,118,-7,-3,AUS,TPA,928,0
2008,1,7,1,1501,1355,1625,1535,WN,298,N789SW,144,160,128,50,66,BDL,BNA,852,0
2008,1,7,1,2135,2120,2239,2230,WN,610,N379SW,64,70,51,9,15,BDL,BWI,283,0
2008,1,7,1,1530,1515,1625,1625,WN,1657,N321SW,55,70,48,0,15,BDL,BWI,283,0
2008,1,7,1,1329,1330,1432,1440,WN,1743,N236WN,63,70,49,-8,-1,BDL,BWI,283,0
2008,1,7,1,1028,1035,1132,1145,WN,2707,N426WN,64,70,51,-13,-7,BDL,BWI,283,0
2008,1,7,1,614,615,714,730,WN,2872,N652SW,60,75,47,-16,-1,BDL,BWI,283,0
2008,1,7,1,736,735,843,845,WN,3481,N462WN,67,70,53,-2,1,BDL,BWI,283,0
2008,1,7,1,1845,1835,1947,1945,WN,3486,N609SW,62,70,48,2,10,BDL,BWI,283,0
2008,1,7,1,1721,1715,1828,1825,WN,3505,N485WN,67,70,55,3,6,BDL,BWI,283,0
2008,1,7,1,759,805,858,915,WN,3745,N261WN,59,70,49,-17,-6,BDL,BWI,283,0
2008,1,7,1,705,700,952,1000,WN,3655,N709SW,347,360,332,-8,5,BDL,LAS,2298,0
2008,1,7,1,1944,1945,2223,2245,WN,452,N654SW,159,180,146,-22,-1,BDL,MCO,1050,0
2008,1,7,1,1208,1205,1445,1510,WN,524,N772SW,157,185,143,-25,3,BDL,MCO,1050,0
2008,1,7,1,652,655,940,1000,WN,3133,N447WN,168,185,141,-20,-3,BDL,MCO,1050,0
2008,1,7,1,1725,1725,2008,1855,WN,2449,N737JW,223,150,211,73,0,BDL,MDW,777,0
2008,1,7,1,1158,1200,1320,1325,WN,3149,N781WN,142,145,128,-5,-2,BDL,MDW,777,0
2008,1,7,1,640,645,811,820,WN,3916,N487WN,151,155,141,-9,-5,BDL,MDW,777,0
2008,1,7,1,1015,1005,1302,1320,WN,1860,N217JC,167,195,153,-18,10,BDL,TPA,1111,0
2008,1,7,1,1908,1910,2157,2225,WN,3407,N249WN,169,195,158,-28,-2,BDL,TPA,1111,0
2008,1,7,1,1515,1520,1605,1610,WN,102,N359SW,50,50,34,-5,-5,BHM,BNA,177,0
2008,1,7,1,907,910,955,1000,WN,518,N214WN,48,50,34,-5,-3,BHM,BNA,177,0
2008,1,7,1,1302,1300,1547,1550,WN,521,N630WN,105,110,95,-3,2,BHM,BWI,682,0
2008,1,7,1,701,705,946,955,WN,785,N406WN,105,110,93,-9,-4,BHM,BWI,682,0
2008,1,7,1,1750,1750,2034,2040,WN,2036,N603SW,104,110,92,-6,0,BHM,BWI,682,0
2008,1,7,1,1107,1110,1251,1305,WN,112,N501SW,104,115,92,-14,-3,BHM,DAL,587,0
2008,1,7,1,806,810,956,1005,WN,573,N455WN,110,115,97,-9,-4,BHM,DAL,587,0
2008,1,7,1,1647,1645,1838,1825,WN,764,N202WN,111,100,97,13,2,BHM,DAL,587,0
2008,1,7,1,1028,1030,1219,1225,WN,63,N708SA,111,115,94,-6,-2,BHM,HOU,570,0
2008,1,7,1,1652,1655,1843,1850,WN,823,N484WN,111,115,97,-7,-3,BHM,HOU,570,0
2008,1,7,1,1459,1455,1706,1705,WN,3948,N224WN,67,70,53,1,4,BHM,JAX,365,0
2008,1,7,1,1005,1005,1216,1220,WN,3430,N495WN,251,255,236,-4,0,BHM,LAS,1618,0
2008,1,7,1,646,650,910,915,WN,779,N782SA,84,85,70,-5,-4,BHM,MCO,478,0
2008,1,7,1,932,935,1155,1200,WN,1317,N707SA,83,85,67,-5,-3,BHM,MCO,478,0
2008,1,7,1,1844,1850,2107,2120,WN,2382,N795SW,83,90,71,-13,-6,BHM,MCO,478,0
2008,1,7,1,633,635,819,820,WN,437,N772SW,106,105,94,-1,-2,BHM,MDW,570,0
2008,1,7,1,1443,1445,1618,1630,WN,1944,N234WN,95,105,83,-12,-2,BHM,MDW,570,0
2008,1,7,1,1217,1220,1316,1325,WN,223,N733SA,59,65,50,-9,-3,BHM,MSY,321,0
2008,1,7,1,1928,1935,2028,2040,WN,623,N401WN,60,65,50,-12,-7,BHM,MSY,321,0
2008,1,7,1,616,615,718,720,WN,1481,N463WN,62,65,50,-2,1,BHM,MSY,321,0
2008,1,7,1,1552,1555,1846,1900,WN,2093,N427WN,234,245,218,-14,-3,BHM,PHX,1455,0
2008,1,7,1,1907,1840,2105,2050,WN,342,N488WN,58,70,46,15,27,BHM,SDF,323,0
2008,1,7,1,1115,1115,1324,1320,WN,1188,N450WN,69,65,53,4,0,BHM,SDF,323,0
2008,1,7,1,736,740,851,900,WN,472,N385SW,75,80,61,-9,-4,BHM,STL,410,0
2008,1,7,1,946,950,1205,1210,WN,2031,N391SW,79,80,67,-5,-4,BHM,TPA,460,0
2008,1,7,1,1749,1750,2011,2010,WN,2205,N391SW,82,80,67,1,-1,BHM,TPA,460,0
2008,1,7,1,1349,1350,1602,1610,WN,2802,N467WN,73,80,63,-8,-1,BHM,TPA,460,0
2008,1,7,1,1417,1350,1636,1615,WN,813,N306SW,139,145,125,21,27,BNA,AUS,756,0
2008,1,7,1,803,810,1017,1030,WN,1137,N694SW,134,140,123,-13,-7,BNA,AUS,756,0
2008,1,7,1,1952,1955,2207,2215,WN,3334,N633SW,135,140,122,-8,-3,BNA,AUS,756,0
2008,1,7,1,1836,1835,2147,2145,WN,419,N295WN,131,130,117,2,1,BNA,BDL,852,0
2008,1,7,1,959,1000,1041,1050,WN,112,N501SW,42,50,32,-9,-1,BNA,BHM,177,0
2008,1,7,1,1540,1535,1627,1625,WN,764,N202WN,47,50,31,2,5,BNA,BHM,177,0
2008,1,7,1,901,900,1130,1140,WN,48,N625SW,89,100,77,-10,1,BNA,BWI,588,0
2008,1,7,1,621,620,853,900,WN,127,N228WN,92,100,76,-7,1,BNA,BWI,588,0
2008,1,7,1,1430,1430,1657,1705,WN,133,N294WN,87,95,75,-8,0,BNA,BWI,588,0
2008,1,7,1,1735,1705,2003,1945,WN,879,N441WN,88,100,74,18,30,BNA,BWI,588,0
2008,1,7,1,2142,2145,8,15,WN,1107,N474WN,86,90,73,-7,-3,BNA,BWI,588,0
2008,1,7,1,2018,1905,2246,2140,WN,1324,N240WN,88,95,77,66,73,BNA,BWI,588,0
2008,1,7,1,1257,1245,1529,1520,WN,1920,N396SW,92,95,77,9,12,BNA,BWI,588,0
2008,1,7,1,1040,1040,1307,1315,WN,2556,N207WN,87,95,75,-8,0,BNA,BWI,588,0
2008,1,7,1,1021,1025,1238,1250,WN,518,N214WN,77,85,62,-12,-4,BNA,CLE,448,0
2008,1,7,1,2031,1940,2250,2205,WN,2555,N714CB,79,85,63,45,51,BNA,CLE,448,0
2008,1,7,1,920,920,1124,1130,WN,222,N643SW,64,70,54,-6,0,BNA,CMH,338,0
2008,1,7,1,1859,1905,2100,2115,WN,1668,N250WN,61,70,49,-15,-6,BNA,CMH,338,0
2008,1,7,1,926,925,1120,1125,WN,341,N356SW,174,180,158,-5,1,BNA,DEN,1013,0
2008,1,7,1,1846,1850,2030,2050,WN,2821,N772SW,164,180,147,-20,-4,BNA,DEN,1013,0
2008,1,7,1,1407,1410,1632,1645,WN,249,N714CB,85,95,73,-13,-3,BNA,DTW,457,0
2008,1,7,1,909,915,1129,1145,WN,1592,N369SW,80,90,72,-16,-6,BNA,DTW,457,0
2008,1,7,1,1836,1840,2100,2110,WN,3238,N348SW,84,90,68,-10,-4,BNA,DTW,457,0
2008,1,7,1,812,810,1118,1120,WN,260,N389SW,126,130,109,-2,2,BNA,FLL,793,0
2008,1,7,1,1828,1820,2126,2125,WN,959,N276WN,118,125,108,1,8,BNA,FLL,793,0
2008,1,7,1,2113,2115,2309,2320,WN,312,N389SW,116,125,105,-11,-2,BNA,HOU,670,0
2008,1,7,1,843,845,1049,1055,WN,614,N786SW,126,130,113,-6,-2,BNA,HOU,670,0
2008,1,7,1,1329,1335,1530,1545,WN,1026,N415WN,121,130,110,-15,-6,BNA,HOU,670,0
2008,1,7,1,622,625,826,835,WN,1829,N515SW,124,130,111,-9,-3,BNA,HOU,670,0
2008,1,7,1,1601,1605,1800,1820,WN,2183,N502SW,119,135,108,-20,-4,BNA,HOU,670,0
2008,1,7,1,1220,1210,1439,1430,WN,640,N383SW,79,80,67,9,10,BNA,JAX,484,0
2008,1,7,1,1730,1725,1951,1950,WN,830,N757LV,81,85,66,1,5,BNA,JAX,484,0
2008,1,7,1,2045,2030,2302,2250,WN,891,N209WN,77,80,65,12,15,BNA,JAX,484,0
2008,1,7,1,750,755,1012,1015,WN,2108,N453WN,82,80,68,-3,-5,BNA,JAX,484,0
2008,1,7,1,1648,1605,1852,1820,WN,298,N789SW,244,255,233,32,43,BNA,LAS,1588,0
2008,1,7,1,1210,1210,1411,1425,WN,1479,N479WN,241,255,230,-14,0,BNA,LAS,1588,0
2008,1,7,1,2014,2005,2235,2215,WN,2194,N431WN,261,250,242,20,9,BNA,LAS,1588,0
2008,1,7,1,631,635,840,850,WN,2699,N243WN,249,255,239,-10,-4,BNA,LAS,1588,0
2008,1,7,1,751,755,1038,1035,WN,92,N428WN,287,280,258,3,-4,BNA,LAX,1797,0
2008,1,7,1,1051,1050,1329,1330,WN,420,N245WN,278,280,259,-1,1,BNA,LAX,1797,0
2008,1,7,1,1810,1815,2041,2100,WN,2437,N246LV,271,285,254,-19,-5,BNA,LAX,1797,0
2008,1,7,1,1639,1640,1834,1825,WN,102,N359SW,115,105,80,9,-1,BNA,MCI,491,0
2008,1,7,1,1228,1225,1400,1410,WN,1151,N676SW,92,105,81,-10,3,BNA,MCI,491,0
2008,1,7,1,641,645,814,830,WN,1655,N688SW,93,105,81,-16,-4,BNA,MCI,491,0
2008,1,7,1,2038,2045,2209,2225,WN,2611,N288WN,91,100,78,-16,-7,BNA,MCI,491,0
2008,1,7,1,641,645,918,930,WN,150,N635SW,97,105,84,-12,-4,BNA,MCO,616,0
2008,1,7,1,1835,1735,2112,2020,WN,1058,N449WN,97,105,80,52,60,BNA,MCO,616,0
2008,1,7,1,2032,2030,2308,2310,WN,2032,N271WN,96,100,81,-2,2,BNA,MCO,616,0
2008,1,7,1,926,930,1206,1215,WN,2110,N713SW,100,105,82,-9,-4,BNA,MCO,616,0
2008,1,7,1,1523,1530,1811,1815,WN,3169,N649SW,108,105,95,-4,-7,BNA,MCO,616,0
2008,1,7,1,607,610,733,735,WN,398,N507SW,86,85,73,-2,-3,BNA,MDW,395,0
2008,1,7,1,1809,1805,1950,1930,WN,762,N220WN,101,85,87,20,4,BNA,MDW,395,0
2008,1,7,1,NA,2105,NA,2230,WN,941,,NA,85,NA,NA,NA,BNA,MDW,395,1
2008,1,7,1,1301,1305,1418,1425,WN,1422,N792SW,77,80,63,-7,-4,BNA,MDW,395,0
2008,1,7,1,1132,1135,1248,1255,WN,2195,N453WN,76,80,64,-7,-3,BNA,MDW,395,0
2008,1,7,1,1635,1640,NA,1805,WN,2804,N420WN,NA,85,NA,NA,-5,BNA,MDW,395,0
2008,1,7,1,2012,2010,2221,2130,WN,3428,N465WN,129,80,108,51,2,BNA,MDW,395,0
2008,1,7,1,923,920,1042,1045,WN,3676,N523SW,79,85,66,-3,3,BNA,MDW,395,0
2008,1,7,1,746,750,912,915,WN,3846,N210WN,86,85,71,-3,-4,BNA,MDW,395,0
2008,1,7,1,1732,1735,1856,1905,WN,570,N515SW,84,90,72,-9,-3,BNA,MSY,471,0
2008,1,7,1,941,945,1100,1115,WN,689,N464WN,79,90,71,-15,-4,BNA,MSY,471,0
2008,1,7,1,1417,1420,1703,1725,WN,2463,N216WR,286,305,275,-22,-3,BNA,OAK,1959,0
2008,1,7,1,1522,1525,1743,1755,WN,145,N473WN,261,270,252,-12,-3,BNA,ONT,1751,0
2008,1,7,1,643,650,924,945,WN,81,N473WN,101,115,88,-21,-7,BNA,PHL,675,0
2008,1,7,1,1110,1115,1356,1410,WN,638,N794SW,106,115,90,-14,-5,BNA,PHL,675,0
2008,1,7,1,1833,1810,2113,2100,WN,2113,N659SW,100,110,89,13,23,BNA,PHL,675,0
2008,1,7,1,1154,1145,1449,1440,WN,1413,N218WN,235,235,223,9,9,BNA,PHX,1448,0
2008,1,7,1,715,715,1036,1015,WN,1580,N411WN,261,240,234,21,0,BNA,PHX,1448,0
